country,country_code,series,seriescode,measure,period,D1,D2,D3,data,footnoteref
World,1,Food price index,w100,2002-2004=100,      2016JAN ,,,,149.336227,
World,1,Food price index,w100,2002-2004=100,      2016FEB ,,,,149.697133,
World,1,Food price index,w100,2002-2004=100,      2016MAR ,,,,150.645841,
World,1,Food price index,w100,2002-2004=100,      2016APR ,,,,151.771785,
World,1,Food price index,w100,2002-2004=100,      2015JAN ,,,,178.908224,
World,1,Food price index,w100,2002-2004=100,      2015FEB ,,,,175.775961,
World,1,Food price index,w100,2002-2004=100,      2015MAR ,,,,171.49404,
World,1,Food price index,w100,2002-2004=100,      2015APR ,,,,168.375413,
World,1,Food price index,w100,2002-2004=100,      2015MAY ,,,,167.204692,
World,1,Food price index,w100,2002-2004=100,      2015JUN ,,,,164.940225,
World,1,Food price index,w100,2002-2004=100,      2015JUL ,,,,164.15447,
World,1,Food price index,w100,2002-2004=100,      2015AUG ,,,,154.996093,
World,1,Food price index,w100,2002-2004=100,      2015SEP ,,,,155.266248,
World,1,Food price index,w100,2002-2004=100,      2015OCT ,,,,158.186703,
World,1,Food price index,w100,2002-2004=100,      2015NOV ,,,,155.229571,
World,1,Food price index,w100,2002-2004=100,      2015DEC ,,,,153.369289,
World,1,Food price index,w100,2002-2004=100,      2014JAN ,,,,203.207069,
World,1,Food price index,w100,2002-2004=100,      2014FEB ,,,,208.604774,
World,1,Food price index,w100,2002-2004=100,      2014MAR ,,,,213.787486,
World,1,Food price index,w100,2002-2004=100,      2014APR ,,,,211.511918,
World,1,Food price index,w100,2002-2004=100,      2014MAY ,,,,210.401506,
World,1,Food price index,w100,2002-2004=100,      2014JUN ,,,,208.906417,
World,1,Food price index,w100,2002-2004=100,      2014JUL ,,,,204.27676,
World,1,Food price index,w100,2002-2004=100,      2014AUG ,,,,198.261736,
World,1,Food price index,w100,2002-2004=100,      2014SEP ,,,,192.670499,
World,1,Food price index,w100,2002-2004=100,      2014OCT ,,,,192.743432,
World,1,Food price index,w100,2002-2004=100,      2014NOV ,,,,191.266137,
World,1,Food price index,w100,2002-2004=100,      2014DEC ,,,,185.824433,
World,1,Food price index,w100,2002-2004=100,      2013JAN ,,,,212.905263,
World,1,Food price index,w100,2002-2004=100,      2013FEB ,,,,212.621536,
World,1,Food price index,w100,2002-2004=100,      2013MAR ,,,,214.846855,
World,1,Food price index,w100,2002-2004=100,      2013APR ,,,,216.872458,
World,1,Food price index,w100,2002-2004=100,      2013MAY ,,,,214.61604,
World,1,Food price index,w100,2002-2004=100,      2013JUN ,,,,211.911577,
World,1,Food price index,w100,2002-2004=100,      2013JUL ,,,,207.469987,
World,1,Food price index,w100,2002-2004=100,      2013AUG ,,,,204.526125,
World,1,Food price index,w100,2002-2004=100,      2013SEP ,,,,203.746401,
World,1,Food price index,w100,2002-2004=100,      2013OCT ,,,,206.560673,
World,1,Food price index,w100,2002-2004=100,      2013NOV ,,,,205.721413,
World,1,Food price index,w100,2002-2004=100,      2013DEC ,,,,206.154627,
World,1,Food price index,w100,2002-2004=100,      2012JAN ,,,,214.720255,
World,1,Food price index,w100,2002-2004=100,      2012FEB ,,,,217.166147,
World,1,Food price index,w100,2002-2004=100,      2012MAR ,,,,216.974555,
World,1,Food price index,w100,2002-2004=100,      2012APR ,,,,213.872865,
World,1,Food price index,w100,2002-2004=100,      2012MAY ,,,,205.005662,
World,1,Food price index,w100,2002-2004=100,      2012JUN ,,,,200.582797,
World,1,Food price index,w100,2002-2004=100,      2012AUG ,,,,213.752592,
World,1,Food price index,w100,2002-2004=100,      2012SEP ,,,,217.792038,
World,1,Food price index,w100,2002-2004=100,      2012OCT ,,,,217.073751,
World,1,Food price index,w100,2002-2004=100,      2012NOV ,,,,215.573567,
World,1,Food price index,w100,2002-2004=100,      2012DEC ,,,,213.797455,
World,1,Food price index,w100,2002-2004=100,      2012JUL ,,,,212.952343,
World,1,Food price index,w100,2002-2004=100,      2011JAN ,,,,232.665754,
World,1,Food price index,w100,2002-2004=100,      2011FEB ,,,,240.093454,
World,1,Food price index,w100,2002-2004=100,      2011MAR ,,,,234.609479,
World,1,Food price index,w100,2002-2004=100,      2011APR ,,,,237.975344,
World,1,Food price index,w100,2002-2004=100,      2011MAY ,,,,234.715103,
World,1,Food price index,w100,2002-2004=100,      2011JUN ,,,,235.168099,
World,1,Food price index,w100,2002-2004=100,      2011JUL ,,,,233.409658,
World,1,Food price index,w100,2002-2004=100,      2011AUG ,,,,232.37891,
World,1,Food price index,w100,2002-2004=100,      2011SEP ,,,,227.714191,
World,1,Food price index,w100,2002-2004=100,      2011OCT ,,,,218.417928,
World,1,Food price index,w100,2002-2004=100,      2011NOV ,,,,218.935954,
World,1,Food price index,w100,2002-2004=100,      2011DEC ,,,,213.277536,
World,1,Food price index,w100,2002-2004=100,      2010JAN ,,,,174,
World,1,Food price index,w100,2002-2004=100,      2010FEB ,,,,170.1,
World,1,Food price index,w100,2002-2004=100,      2010MAR ,,,,168.511317,
World,1,Food price index,w100,2002-2004=100,      2010APR ,,,,170.165876,
World,1,Food price index,w100,2002-2004=100,      2010MAY ,,,,169.641704,
World,1,Food price index,w100,2002-2004=100,      2010JUN ,,,,168.220379,
World,1,Food price index,w100,2002-2004=100,      2010JUL ,,,,172.668303,
World,1,Food price index,w100,2002-2004=100,      2010AUG ,,,,182.998463,
World,1,Food price index,w100,2002-2004=100,      2010SEP ,,,,194.185291,
World,1,Food price index,w100,2002-2004=100,      2010OCT ,,,,204.996765,
World,1,Food price index,w100,2002-2004=100,      2010NOV ,,,,212.864157,
World,1,Food price index,w100,2002-2004=100,      2010DEC ,,,,225.176953,
World,1,Food price index,w100,2002-2004=100,      2009JAN ,,,,143.593521,
World,1,Food price index,w100,2002-2004=100,      2009FEB ,,,,139.048026,
World,1,Food price index,w100,2002-2004=100,      2009MAR ,,,,139.700449,
World,1,Food price index,w100,2002-2004=100,      2009APR ,,,,142.820208,
World,1,Food price index,w100,2002-2004=100,      2009MAY ,,,,152.275418,
