Date,Open,High,Low,Close,Volume,Adj Close
2016-05-02,1.816,1.867,1.705,1.76,000,1.76
2016-04-01,1.778,1.941,1.685,1.819,000,1.819
2016-03-01,1.749,2.002,1.728,1.786,000,1.786
2016-02-01,1.93,1.966,1.567,1.74,000,1.74
2016-01-04,2.23,2.261,1.911,1.931,000,1.931
2015-12-01,2.229,2.356,2.132,2.269,000,2.269
2015-11-02,2.175,2.377,2.167,2.218,000,2.218
2015-10-01,2.039,2.182,1.906,2.151,000,2.151
2015-09-01,2.165,2.303,2.047,2.06,000,2.06
2015-08-03,2.194,2.293,1.905,2.20,000,2.20
2015-07-01,2.418,2.47,2.187,2.205,000,2.205
2015-06-01,2.125,2.489,2.106,2.335,000,2.335
2015-05-01,2.067,2.335,2.058,2.095,000,2.095
2015-04-01,1.892,2.11,1.843,2.046,000,2.046
2015-03-02,2.014,2.259,1.852,1.934,000,1.934
2015-02-02,1.674,2.152,1.654,2.002,000,2.002
2015-01-02,2.197,2.213,1.651,1.675,000,1.675
2014-12-01,2.157,2.331,2.045,2.17,000,2.17
2014-11-03,2.325,2.407,2.194,2.194,000,2.194
2014-10-01,2.475,2.484,1.868,2.335,000,2.335
2014-09-02,2.393,2.642,2.382,2.508,000,2.508
2014-08-01,2.582,2.591,2.30,2.343,000,2.343
2014-07-01,2.55,2.692,2.448,2.556,000,2.556
2014-06-02,2.50,2.659,2.487,2.516,000,2.516
2014-05-01,2.66,2.70,2.402,2.457,000,2.457
2014-04-01,2.743,2.808,2.596,2.648,000,2.648
2014-03-03,2.612,2.821,2.596,2.723,000,2.723
2014-02-03,2.677,2.781,2.579,2.658,000,2.658
2014-01-02,3.028,3.034,2.646,2.668,000,2.668
2013-12-02,2.781,3.036,2.759,3.026,000,3.026
2013-11-01,2.589,2.839,2.572,2.741,000,2.741
2013-10-01,2.646,2.757,2.471,2.542,000,2.542
2013-09-03,2.837,2.984,2.599,2.615,000,2.615
2013-08-01,2.601,2.92,2.552,2.749,000,2.749
2013-07-01,2.521,2.725,2.451,2.593,000,2.593
2013-06-03,2.168,2.657,1.999,2.478,000,2.478
2013-05-01,1.658,2.211,1.614,2.164,000,2.164
2013-04-01,1.885,1.888,1.638,1.675,000,1.675
2013-03-01,1.85,2.086,1.833,1.852,000,1.852
2013-02-01,2.01,2.054,1.843,1.888,000,1.888
2013-01-02,1.842,2.037,1.803,1.985,000,1.985
2012-12-03,1.644,1.847,1.564,1.756,000,1.756
2012-11-01,1.715,1.779,1.556,1.606,000,1.606
2012-10-01,1.62,1.852,1.611,1.686,000,1.686
2012-09-04,1.565,1.892,1.548,1.637,000,1.637
2012-08-01,1.492,1.863,1.449,1.562,000,1.562
2012-07-02,1.643,1.643,1.394,1.492,000,1.492
2012-06-01,1.521,1.686,1.44,1.659,000,1.659
2012-05-01,1.919,1.961,1.533,1.581,000,1.581
2012-04-02,2.20,2.284,1.907,1.915,000,1.915
2012-03-01,2.033,2.397,1.931,2.216,000,2.216
2012-02-01,1.807,2.08,1.80,1.977,000,1.977
2012-01-03,1.951,2.094,1.797,1.799,000,1.799
2011-12-01,2.128,2.156,1.801,1.871,000,1.871
2011-11-01,2.029,2.137,1.879,2.068,000,2.068
2011-10-03,1.883,2.407,1.717,2.175,000,2.175
2011-09-01,2.202,2.278,1.696,1.924,000,1.924
2011-08-01,2.792,2.821,1.978,2.218,000,2.218
2011-07-01,3.147,3.223,2.805,2.805,000,2.805
2011-06-01,3.015,3.216,2.847,3.158,000,3.158
2011-05-02,3.312,3.312,3.041,3.05,000,3.05
2011-04-01,3.498,3.619,3.286,3.296,000,3.296
2011-03-01,3.464,3.595,3.141,3.454,000,3.454
2011-02-01,3.428,3.744,3.398,3.414,000,3.414
2011-01-03,3.377,3.497,3.255,3.378,000,3.378
2010-12-01,2.903,3.566,2.89,3.305,000,3.305
2010-11-01,2.588,2.963,2.46,2.797,000,2.797
2010-10-01,2.546,2.72,2.334,2.612,000,2.612
2010-09-01,2.491,2.827,2.449,2.517,000,2.517
2010-08-02,2.934,2.964,2.419,2.477,000,2.477
2010-07-01,2.929,3.124,2.883,2.907,000,2.907
2010-06-01,3.259,3.425,2.947,2.951,000,2.951
2010-05-03,3.695,3.713,3.098,3.301,000,3.301
2010-04-01,3.859,4.013,3.655,3.663,000,3.663
2010-03-01,3.617,3.93,3.593,3.833,000,3.833
2010-02-01,3.633,3.828,3.537,3.595,000,3.595
2010-01-04,3.859,3.859,3.576,3.609,000,3.609
2009-12-01,3.231,3.918,3.223,3.843,000,3.843
2009-11-02,3.403,3.564,3.20,3.201,000,3.201
2009-10-01,3.29,3.579,3.106,3.392,000,3.392
2009-09-01,3.399,3.535,3.272,3.307,000,3.307
2009-08-03,3.565,3.886,3.394,3.401,000,3.401
2009-07-01,3.589,3.766,3.265,3.501,000,3.501
2009-06-01,3.505,4.014,3.456,3.523,000,3.523
2009-05-01,3.167,3.758,3.077,3.465,000,3.465
2009-04-01,2.659,3.166,2.634,3.124,000,3.124
2009-03-02,2.963,3.041,2.464,2.685,000,2.685
2009-02-02,2.833,3.054,2.628,3.041,000,3.041
2009-01-02,2.203,2.856,2.159,2.844,000,2.844
2008-12-01,2.883,2.887,2.038,2.244,000,2.244
2008-11-03,3.937,3.964,2.93,2.957,000,2.957
2008-10-01,3.748,4.109,3.40,3.97,000,3.97
2008-09-02,3.847,3.905,3.25,3.827,000,3.827
2008-08-01,3.942,4.09,3.763,3.813,000,3.813
2008-07-01,3.942,4.174,3.769,3.979,000,3.979
2008-06-02,4.025,4.324,3.856,3.979,000,3.979
2008-05-01,3.751,4.139,3.682,4.046,000,4.046
2008-04-01,3.486,3.888,3.43,3.759,000,3.759
2008-03-03,3.562,3.704,3.288,3.432,000,3.432
2008-02-01,3.652,3.96,3.526,3.534,000,3.534
2008-01-02,4.033,4.052,3.281,3.639,000,3.639
2007-12-03,3.944,4.281,3.84,4.035,000,4.035
2007-11-01,4.455,4.457,3.845,3.972,000,3.972
2007-10-01,4.579,4.719,4.312,4.475,000,4.475
2007-09-04,4.514,4.702,4.301,4.579,000,4.579
2007-08-01,4.733,4.89,4.496,4.537,000,4.537
2007-07-02,5.031,5.201,4.741,4.771,000,4.771
2007-06-01,4.898,5.316,4.874,5.033,000,5.033
2007-05-01,4.618,4.921,4.602,4.89,000,4.89
2007-04-02,4.638,4.775,4.612,4.63,000,4.63
2007-03-01,4.523,4.672,4.473,4.648,000,4.648
2007-02-01,4.814,4.87,4.509,4.55,000,4.55
2007-01-03,4.658,4.906,4.583,4.826,000,4.826
2006-12-01,4.479,4.72,4.404,4.71,000,4.71
2006-11-01,4.61,4.737,4.456,4.458,000,4.458
2006-10-02,4.653,4.848,4.559,4.606,000,4.606
2006-09-01,4.724,4.848,4.53,4.633,000,4.633
2006-08-01,5.002,5.018,4.728,4.732,000,4.732
2006-07-03,5.155,5.241,4.979,4.988,000,4.988
2006-06-01,5.137,5.245,4.949,5.138,000,5.138
2006-05-01,5.059,5.192,4.98,5.113,000,5.113
2006-04-03,4.884,5.143,4.835,5.069,000,5.069
2006-03-01,4.561,4.884,4.551,4.853,000,4.853
2006-02-01,4.529,4.63,4.50,4.547,000,4.547
2006-01-03,4.424,4.557,4.289,4.527,000,4.527
2005-12-01,4.476,4.581,4.334,4.395,000,4.395
2005-11-01,4.545,4.682,4.388,4.50,000,4.50
2005-10-03,4.32,4.605,4.317,4.559,000,4.559
2005-09-01,4.043,4.341,3.983,4.328,000,4.328
2005-08-01,4.30,4.435,4.005,4.02,000,4.02
2005-07-01,3.944,4.298,3.942,4.286,23600,4.286
2005-06-01,3.97,4.152,3.803,3.945,000,3.945
2005-05-02,4.192,4.292,3.992,4.006,22500,4.006
2005-04-01,4.488,4.541,4.144,4.201,30000,4.201
2005-03-01,4.363,4.693,4.289,4.496,91200,4.496
2005-02-01,4.129,4.384,3.977,4.359,164000,4.359
2005-01-03,4.257,4.313,4.119,4.133,000,4.133
2004-12-01,4.338,4.42,4.069,4.216,000,4.216
2004-11-01,4.05,4.382,4.036,4.358,000,4.358
2004-10-01,4.162,4.258,3.943,4.029,000,4.029
2004-09-01,4.094,4.298,3.963,4.119,000,4.119
2004-08-02,4.432,4.473,4.096,4.132,000,4.132
2004-07-01,4.602,4.641,4.351,4.475,000,4.475
2004-06-01,4.679,4.874,4.589,4.617,000,4.617
2004-05-03,4.532,4.904,4.444,4.655,000,4.655
2004-04-01,3.837,4.634,3.831,4.501,000,4.501
2004-03-01,3.986,4.106,3.65,3.837,000,3.837
2004-02-02,4.166,4.203,3.982,3.984,000,3.984
2004-01-02,4.272,4.418,3.918,4.138,000,4.138
2003-12-01,4.343,4.45,4.099,4.257,000,4.257
2003-11-03,4.326,4.491,4.113,4.32,000,4.32
2003-10-01,3.949,4.475,3.912,4.301,000,4.301
2003-09-02,4.561,4.616,3.935,3.937,000,3.937
2003-08-01,4.585,4.668,4.19,4.454,000,4.454
2003-07-01,3.507,4.566,3.459,4.474,000,4.474
2003-06-02,3.408,3.597,3.074,3.528,000,3.528
2003-05-01,3.832,3.955,3.29,3.35,000,3.35
2003-04-01,3.804,4.08,3.78,3.857,000,3.857
2003-03-03,3.711,4.117,3.549,3.823,000,3.823
2003-02-03,4.003,4.038,3.692,3.696,000,3.696
2003-01-02,3.875,4.203,3.86,3.975,000,3.975
2002-12-02,4.35,4.351,3.759,3.818,000,3.818
2002-11-01,3.909,4.272,3.775,4.213,000,4.213
2002-10-01,3.684,4.273,3.559,3.911,000,3.911
2002-09-03,4.054,4.106,3.567,3.607,000,3.607
2002-08-01,4.445,4.47,3.961,4.137,000,4.137
2002-07-01,4.805,4.869,4.224,4.465,000,4.465
2002-06-03,5.078,5.112,4.617,4.824,000,4.824
2002-05-01,5.083,5.327,5.011,5.043,000,5.043
2002-04-01,5.39,5.457,5.033,5.091,000,5.091
2002-03-01,4.891,5.452,4.891,5.406,000,5.406
2002-02-01,5.041,5.05,4.799,4.859,000,4.859
2002-01-02,5.066,5.217,4.786,5.025,000,5.025
2001-12-03,4.735,5.385,4.624,5.032,000,5.032
2001-11-01,4.217,5.077,4.096,4.744,000,4.744
2001-10-01,4.567,4.699,4.255,4.263,000,4.263
2001-09-04,4.848,4.988,4.509,4.575,000,4.575
2001-08-01,5.054,5.193,4.71,4.816,000,4.816
2001-07-02,5.408,5.425,5.033,5.037,000,5.037
2001-06-01,5.366,5.439,4.999,5.39,000,5.39
2001-05-01,5.326,5.527,5.081,5.413,000,5.413
2001-04-02,4.886,5.393,4.838,5.338,000,5.338
2001-03-01,4.86,5.121,4.689,4.915,000,4.915
2001-02-01,5.082,5.227,4.872,4.908,000,4.908
2001-01-02,5.075,5.494,4.874,5.179,000,5.179
